who reads the files stored on web servers	[The web server, clients]
who was the first woman on the united states supreme court	[Sandra Day O'Connor]
number of gold medals won by india in hockey	[26, eight]
who sang the music in a star is born	[Rafi Gavron, Michael Mancini, Sam Elliott, Bradley Cooper, Shangela Laquifa Wadley, Anthony Ramos, Alec Baldwin, Don Roy King, Gena Rositano, Lady Gaga]
when does iris west die in the flash	[during a costume party]
where did they move to in cheaper by the dozen	[Evanston, Illinois]
who did stephen amell play in private practice	[Scott Becker]
what are the three layers of the eyes	[nervous tunic, the vascular tunic, the fibrous tunic, fibrous tunic, the nervous tunic, vascular tunic]
what is the structure of canadas political system	[a constitutional monarchy]
who has won the most money in the challenge	[Ashley Mitchell]
when was the statue of liberty made in france	[the early 1870s]
when was the louvre in abu dhabi opened to the public	[8 November 2017, May 2009]
when did new mexico became a us territory	[September 9, 1850]
where do the arizona cardinals football team play	[at State Farm Stadium, State Farm Stadium]
how old you have to be to buy cigarettes in texas	[18]
who is responsible for creating and writing the business case	[sponsors, stakeholders]
members of the black order in infinity war	[Corvus Glaive, Ebony Maw, Proxima Midnight]
how many episodes of the thundermans are there	[98]
top 10 teams with most premier league titles	[Aston Villa, Arsenal, Chelsea, Manchester United, Sunderland, Newcastle United, Manchester City, Liverpool, Sheffield Wednesday, Everton]
who played elphaba in the original cast of wicked	[Idina Menzel]
who explained planetary motion by describing epicycles deferents and equants	[Ptolemy of Thebaid, Hipparchus of Rhodes, Apollonius of Perga, Johannes Kepler]
what is the name of elsa sister in frozen	[Anna, Princess Anna]
gordon ramsay take care of my refrigerator episode	[159, 158]
how much did the winner of melbourne cup pay	[$4 million]
what kind of corn is used to make ethanol	[corn biomass]
who starred in the first star is born movie	[Fredric March, Andy Devine, Lionel Stander, Adolphe Menjou, May Robson, Owen Moore, Janet Gaynor]
what is the name of the first cartoon with sound	[Steamboat Willie, My Old Kentucky Home]
who played the titular role in the 2001 film 'bridget jones'	[Renée Zellweger]
six flags new orleans why did it close	[Hurricane Katrina]
who won the first game of the world series and what was the score	[Boston Red Sox – 8]
when did juice wrld first song come out	[2015, Wasted, 2017]
who sponsored icc world cup outside england first time	[Pakistan, India and Pakistan, India]
who is white boy rick movie based on	[Richard Wershe Jr.]
presidents that won popular vote but not election	[Benjamin Harrison, George W. Bush, Rutherford B. Hayes, Donald Trump, John Quincy Adams]
where does most of the solar wind flow	[the upper atmosphere]
who sings don't it make you feel like dancing	[the Headpins]
who won holiday baking championship season 4 episode 7	[Stephany Buswell, Jennifer Barney]
what book in the bible is enoch in	[Jude]
where is the maximum ozone depletion has been observed	[above the Antarctic, Antarctic ozone hole, polar regions, around Earth's polar regions]
when was the word secular added to the preamble of indian constitution	[1976, 1975]
which mlb team has lost the most world series	[The Los Angeles Dodgers, Los Angeles Dodgers]
where is the area code 623 coming from	[Arizona]
who plays peter pevensie in the chronicles of narnia	[William Peter Moseley]
texas a m university what does it stand for	[Agricultural and Mechanical College]
when does the next episode of brooklyn nine nine come out	[January 10, 2019, January 10, 2019]
who played the character boo in to kill a mockingbird	[Robert Duvall]
who starred in the girl on the train	[Haley Bennett, Édgar Ramírez, Rebecca Ferguson, Luke Evans, Lisa Kudrow, Emily Blunt, Allison Janney, Justin Theroux]
where do they draw the numbers for mega millions	[Atlanta, Georgia]
who were the original members of the beatles	[Paul McCartney, Ringo Starr, George Harrison, Stuart Sutcliffe, John Lennon]
who won the vote for governor in wisconsin	[Tony Evers]
who won the x factor in 2010 uk	[Matt Cardle]
who does the song i'll take you there	[The Staple Singers]
where did the chicago bulls used to play	[Chicago Stadium, International Amphitheatre]
where in virginia can you find an archaeological site of early human activity	[Cactus Hill]
where can salivary amylase be found in the body	[saliva, in the mouth, in the saliva]
what is the population of bowling green kentucky	[67,067]
the first ever scotland football team was made up entirely of players from which club	[Queen's Park]
where is the song there's a place for us from	[West Side Story]
when did the samsung galaxy a6 come out	[May 2018, May 2, 2018]
what president had the most vetoes overridden by congress	[George Washington, Andrew Johnson]
who is on the korean 100 won coin	[Yi Sun-sin]
where did the original parent trap take place	[Boston, California]
university of minnesota college of biological sciences majors	[Biology, Neuroscience, Plant Biology, Biochemistry, Microbiology]
what is the name of ballabhgarh metro station	[Raja Nahar Singh Metro Station]
when was the song we are the champions written	[1977, released on their 1977 album, 7 October 1977]
what is the meaning of the word ernest	[serious]
who sings the original jamboree in the hills song	[Mayf Nutter]
what does it mean for a defendant to be judgment proof	[financially insolvent]
who is the coach of argentina national team	[Jorge Sampaoli]
what was the essential part of the economy of the spanish colonies	[silver]
who is the best goaltender in the nhl	[Martin Brodeur]
who was the performer who left nashville for the outlaw city and became a main icon of this style	[Willie Nelson]
who wrote article 50 of the lisbon treaty	[Lord Kerr of Kinlochard]
who are the candidates running for florida governor	[Ron DeSantis, Bruce Stanley, Kyle "KC" Gibson, Ryan Christopher Foley, Andrew Gillum, Darcy G. Richardson]
the membrane components that enable a biological membrane to have fluidity are	[lipid bilayer, the lipid bilayer]
when did the original pet sematary movie come out	[1989]
who led american efforts in paris to gain french support	[Benjamin Franklin]
when do you float a horse's teeth	[once every 12 months]
when did the saber-tooth tiger live	[about 10,000 years ago]
who does lou end up with after peter	[Mitch]
who choose legislators before the passage of the seventeenth amendment	[state legislature, state legislatures]
who played the astros in the world series in 2017	[Los Angeles Dodgers]
what are the most populated cities in the us	[Philadelphia, San Antonio, Dallas, Chicago, San Diego, Houston, Los Angeles, San Jose, Phoenix, New York]
when was the original us capitol building completed	[1800, 1811]
who developed a navy to conquer on southeast asia	[Austronesian immigrants, The ruling Yongle Emperor]
where does the greatest distortion in a cylindrical mercator projection occur	[the poles]
how many tribes are there in the united states	[573]
in the northern hemisphere circulation around low pressure is	[cyclonic circulations]
when did the leaning tower of pisa close	[January 7, 1990]
who was the first person to discover guyana	[Alonso de Ojeda]
who is karen in all i see is you	[Yvonne Strahovski]
how many episodes in a place called home	[67]
which nhl teams never won the stanley cup	[Columbus Blue Jackets]
at what point in the plot does lady macbeth die	[in the last act]
where does the e-waste in ghana come from	[industrialized nations, the City of Accra]
when was the voting age reduced to 18	[1971]
when does hong kong revert back to china	[1 July 1997, 1997]
who played the daughter in the original mary poppins	[Karen Dotrice]
who invented the first stop sticker in 1867	[Edward A. Calahan]
in fiction who is peter pans mortal enemy	[Captain Hook]
who is the founder of jammu and kashmir	[Gulab Singh]
who sings as powerline in a goofy movie	[Tevin Campbell, Aaron Lohr]
how many episodes of ben 10 alien force are there	[46]
when did the witches of eastwick come out	[June 12, 1987, 1987]
what was the name of the dog on the brady bunch	[Tiger]
political party in congress with the most members	[Republican]
who's made the most money out of x factor	[One Direction]
who played grace in little house on the prairie	[twins Wendi and Brenda Turnbaugh]
how tall is mt vesuvius from base to peak	[4,042Â ft, 1,232 metres]
which country president has been invited as chief guest in the 2019 republic day of india	[South Africa]
first stage of kohlberg's preconventional level of moral reasoning	[obedience and punishment driven, Obedience and punishment orientation, Pre-Conventional]
les misérables 2018 tv series first episode date	[30 December 2018, 30 December 2018]
what is the dads name on the incredibles	[Robert Parr]
season 6 of house of cards release date	[November 2, 2018, November 2, 2018]
on what plate is most of the united states	[The North American Plate]
who's running for mayor in washington dc	[Dustin Canter, Ann Wilcox, Muriel Bowser]
what is the highest currency in south africa	[200-Rand, 200 Rand]
which division of the himalayas has the maximum length from east to west	[the west (Pakistan)]
who was the french nobleman who served in the continental army	[Marquis de Lafayette]
when did day light savings time change to november	[2005, 2007]
it is the remotest uninhabited island in the world (dependency of norway)	[Bouvetøya (Bouvet Island)]
who does the sheep's voice in sing	[Jennifer Saunders, John C. Reilly]
who's the girl that played in fifty shades of grey	[Dakota Mayi Johnson]
where was the movie only the brave filmed	[New Mexico]
which asteroids were visited on the rosetta journey	[2867 Šteins, 21 Lutetia]
who sings the song those were the days my friend	[Mary Hopkin, Mary Hopkin's]
when was icc cricket world cup held outside england	[2015, 1987, 2003, 1996, 2007, 1992, 2011]
what type of government did rome first have	[Kingdom]
who played the reaper in the masked saint	[James Preston Rogers]
who does tom holland play in the secret world of arrietty	[Shō, Shō (翔)]
when is the new season of hawaii five-o coming on	[September 28, 2018]
what is the telephone code for south africa	[+27, country code 27]
what is the follow up to avengers infinity war	[Avengers: Endgame]
better call saul when will jimmy become saul	[during the third season]
what wr has the most tds this season	[Antonio Brown]
when does it start to cool down in south carolina	[Aug]
when did real time with bill maher start	[February 21, 2003, February 21, 2003]
when is the last time the saints won the superbowl	[2010]
where do you find pearls in the ocean	[ocean floors]
when do i need a biennial flight review	[every 24 calendar months]
when was the last year the broncos won the superbowl	[2015]
what kind of rooster is on the corn flakes box	[cockerel, green]
who plays benny on the haves and the have nots	[Tyler Lepley]
where does the last name pardo originate from	[Sephardi Jewish, Iberian Peninsula]
first woman president of any independent country of the world	[Vigdís Finnbogadóttir]
who is next chief economic advisor of india	[Krishnamurthy Subramanian]
who was authored the book titled feminist dictionary	[Paula A. Tredichler, Cheris Kramarae, Ann Russo]
what are the biggest car companies in the world	[Fiat Chrysler Automobiles, Nissan, Toyota, General Motors, Honda, Ford, Renault, Groupe PSA, Volkswagen AG, Hyundai]
when your second toe is bigger than first	[Morton's foot, Morton's toe]
when does my hero academia 2 heroes come out	[July 5, 2018, August 3, 2018, September 15, 2018]
who's going to be the host of america's got talent	[Terry Crews]
who is the actor that plays negan on walking dead	[Jeffrey Dean Morgan]
how many different types of the family of medium tactical vehicles (fmtv) does the army use	[13]
what is the role of a lance corporal	[fire team commander]
who was winner of fifa world cup 2018	[France]
who had the death penalty abolished in nj	[Jon Corzine, Governor Jon Corzine]
who does donald glover play in lion king	[Simba]
where is the central lowlands on a map	[southern Scotland]
when did the great wall of china was build	[221–206 BC]
who plays the mummy in hotel transylvania 3	[Keegan-Michael Key]
what disney movie is beyond the sea in	[Finding Nemo]
when did snow white and the seven dwarfs premiere	[December 21, 1937, February 4, 1938]
who is considered to be the first american landowner in texas	[Stephen F. Austin]
do you have to register rifles in michigan	[No]
where was the movie the river runs through it filmed	[Yellowstone, Gallatin, Boulder Rivers, Livingston, Granite Falls in Wyoming, Bozeman, Montana]
who won the alabama governors race in the primary election	[Walter Maddox, Kay Ivey]
which officer gave order of firing in the jallianwala baug	[Colonel Reginald Dyer]
who plays the little girl in fist fight	[Alexa Nisenson]
who sings you gotta lick it before you stick it	[20 Fingers, 20 Fingers featuring singer Roula, Roula]
when do we celebrate indian air force day	[8 October]
what was the outcome of the battle lexington and concord	[Strategic American victory]
who will be appointed to the supreme court	[Brett Kavanaugh]
what kinds of buttons are sewn onto northwest coast button blankets	[mother-of-pearl]
who sings someday at christmas with stevie wonder	[The Originals, The Andantes]
name the mold responsible for production of kinema from soybean	[Lactobacillus]
what is christ the redeemer made out of	[reinforced concrete, soapstone, reinforced concrete and soapstone, Soapstone]
who was ishmael's brother in the bible	[Isaac]
who sings waiting for a lifetime for you	[Liam Payne, Rita Ora]
who played the role of chandler bing in the tv series friends	[Matthew Perry]
who played jimmy carter on king of the hill	[David Herman]
who did virginia tech play in the national championship	[Florida State Seminoles, the Florida State Seminoles]
who played grinch in how the grinch stole christmas	[Jim Carrey]
caribbean islands off the gulf of mexico are called	[the Caribbean]
which place is known as the switzerland of india	[Khajjiar, Khajiar]
who sings the song slow dancing swaying to the music	[Johnny Rivers]
what are the judges in the book of judges	[Othniel, Ehud, Jephthah, Gideon, Abimelech, Deborah, Samson]
which article in the constitution defines the duties of congress	[Article One]
when was the last time the bears were 8 and 3	[1940]
when was the flat bottom paper bag invented	[Margaret Eloise Knight, 1868]
who was the last mayor of the township of osgoode before the 2001 city of ottawa amalgamation	[Doug Thompson]
who wrote these are the days of our lives	[Queen, drummer Roger Taylor, Roger Taylor]
according to ramayana which son of vishwakarma build the bridge to lanka	[Nala]
who has scored the most international goals in football	[Ali Daei, 109]
where was the three fifths compromise originally stated	[the Articles of Confederation]
who was matthew in the bible writing to	[Hebrew Christians]
what was the event held in golden gate park in january 1967 known as a gathering of the tribes	[Human Be-In]
bank of baroda is private or government quora	[Government]
where is jefferson smith from in mr smith goes to washington	[an unnamed western state]
who is playing in the arizona bowl game	[Arkansas State Red Wolves, Nevada, Arkansas State, Nevada Wolf Pack]
who is the prime minister of three lanca	[Ranil Wickremesinghe]
dragon ball z budokai tenkaichi 3 how many characters	[98, 98 characters in 161 forms]
who was the heart wants what it wants about	[Justin Bieber]
what does the state abbreviation mo stand for	[Missouri]
the significance of regents of the university of california v bakke	[upheld affirmative action]
who gains more from trade when nations are of unequal economic size	[the smaller]
who is the only vice president of india who have worked under 3 different presidents	[Mohammad Hamid Ansari, Bhairon Singh Shekhawat]
what is the population of san jose california	[estimated 2017 population of 1,035,317, 1,035,317]
who sings the hook on one more chance	[Mary J. Blige, Faith Evans]
when did the new season of mom start	[September 27, 2018, September 27, 2018]
who played baby mikey in look who's talking	[Bruce Willis]
what is anti-ro/ssa or antiphospholipid antibodies	[anti-nuclear autoantibodies, associated with many autoimmune diseases]
when did black widow first appear in the movies	[Iron Man 2, in Iron Man 2]
when does season 8 of moonshiners come out	[January 2, 2019, January 2, 2019]
who is the most followed on tik tok	[@lisaandlena, Lisa and Lena]
who won the grudge match on ink master	[Tony Medellin, Cleen]
what is the most resistant form of microorganism	[extremophiles]
who ends up with who hart of dixie	[George and Annabeth, Lemon and Lavon, Zoe and Wade]
when did the smoking ban start in wales	[2 April 2007]
who won baseball's manager of the year	[Bob Melvin, Brian Snitker]
who is the only indian to have reached two singles badminton	[K. Srikanth]
when's the last time the saints went to the super bowl	[Super Bowl XLIV, 2009]
what is the latest version of imac software	[10.14.2]
when does segregation of alleles occur during meiosis	[prophase II, prophase I]
who sang santa claus is coming to town lyrics	[Eddie Cantor, Sonny Schuyler]
who was on the original murphy brown show	[Grant Shaud, Pat Corley, Faith Ford, Robert Pastorelli, Joe Regalbuto, Charles Kimbrough, Candice Bergen]
who sings gotta get you home tonight	[Eugene Wilde]
who has the most quarterback records in the nfl	[Tom Brady]
who's the voice of phil phillips in the happytime murders	[Bill Barretta]
when was the last time florida state had a losing record	[2007, 2018]
what is the black spider man's name	[Venom]
when did the beagle make it to the united states	[1840s, 1840s at the latest, by the 1840s]
who was tampa bay quarterback when they won the super bowl	[Brad Johnson]
who is running for us senate in florida 2018	[Bill Nelson, Rick Scott]
where does the beta carotene gene in golden rice come from	[genetic engineering]
progress in neuropsychopharmacology & biological psychiatry impact factor	[4.185]
what the last episode of american horror story	[Apocalypse Then]
where does jack frost live in rise of the guardians	[Chris Pine]
when was the last time empire came on	[December 5, 2018]
when is the last time wsu beat uw	[2012, 2017]
where is the island of st croix located	[Caribbean Sea, in the Caribbean Sea, the Caribbean Sea]
who guarantees payment under a letter of credit	[a creditworthy bank, a bank]
who was the pm of india in 1992	[Pamulaparti Venkata Narasimha Rao]
thurstone's primary mental abilities theory of intelligence	[word fluency, number facility, associative memory, reasoning, spatial visualization, perceptual speed, verbal comprehension]
who scored a century in his test debut	[Yasir Hameed, Lawrence Rowe]
who plays the gym teacher in the goldbergs	[Bryan Callen]
who wrote you just may be the one	[Michael Nesmith]
who wrote i get by with a little help from my friends lyrics	[Paul McCartney, McCartney, John Lennon, Lennon]
what is the airport code for jackson hole wyoming	[(IATA: JAC, IATA: JAC, FAA LID: JAC, ICAO: KJAC]
which came first haunted mansion ride or movie	[attraction, the attraction, The attraction]
who played red skull in captain america the first avenger	[Hugo Weaving]
who does elena gilbert end up with in vampire diaries	[Damon, Damon Salvatore]
who is first deputy prime minister of india	[Vallabhbhai Patel]
who is running in new york general election 2018	[Letitia James, Keith Wofford]
who sang in the arms of an angle	[Sarah McLachlan]
which allied country controlled each of the four zones of germany after world war ii	[the United States, the Soviet Union, United Kingdom, United States, France]
which quarterback has the most super bowl rings	[Tom Brady]
where is the vietnam women's memorial located	[National MallWashington, D.C., National Mall in Washington D.C.]
who played jem in jem and the holograms	[Isabella Rice, Aubrey Peeples]
where did central pacific and union pacific meet	[Promontory Summit]
first horror movie nominated for best picture academy awards	[The Exorcist]
ini extension refers to what kind of file	[configuration files, Initialization/Configuration File]
what are the possible outcomes that a probability can be assigned to	[sample space]
where is the ut oklahoma game being played	[Dallas, Texas, the Cotton Bowl stadium, Fair Park]
what happens when you divide 0 by a number	[undefined]
what nqf level is a master's degree	[Level 7]
when is season 5 coming out of the flash	[October 9, 2018]
who plays the lucky girl in deadpool 2	[Zazie Beetz]
when is game of thones season 8 coming out	[April 2019]
where is my big fat gypsy wedding filmed	[United States]
how long does it take for the moon to make one revolution around the earth (one star to the next)	[about 27.32 days, 27.32 days]
the chief law enforcement officer in a county is called a	[a sheriff, sheriff]
who sings i dont want to loose your love tonight	[John O'Banion, Crystal Gayle]
which element in period 3 is the most reactive metal	[Sodium]
what breeds are in a olde english bulldog	[English bulldogs, Bull Mastiffs, American Bulldogs, American Pit Bull Terriers]
when did metro pcs combined with t mobile	[2013, May 1, 2013]
what mlb teams have never won a championship	[Dallas-Ft. Worth, Washington Nationals, Seattle, Colorado Rockies, Milwaukee Brewers, Tampa-St. Petersburg, San Diego Padres, San Diego, Denver, Tampa Bay Rays, Seattle Mariners, Texas Rangers]
who's playing sarah horton on days of our lives	[Aimee Brooks, Shauna Lane-Block, Anthony Seaward, Alli Brown, Linsey Godfrey, Lisa Brinegar, Katie Krell, Colin Lewis]
where did the quakers settled in north america	[Massachusetts Bay Colony, Rhode Island, the Massachusetts Bay Colony, Pennsylvania, British colony of Pennsylvania]
who plays spider in once upon a time in venice	[Jason Momoa]
who dies in harry potter and the order of phoenix	[Sirius]
married at first sight australia season 5 how many episodes	[32]
who has scored the most goal in football history	[Josef Bican]
which indian musical instrument is not sting instruments	[idiophones, membranophones, aerophones]
wars in which country sent thousands of refugees fleeing to hungary	[Greece]
who wrote the shallow for a star is born	[Mark Ronson, Andrew Wyatt, Lady Gaga, Anthony Rossomando]
where is season 5 of prison break filmed	[Ouarzazate, Casablanca, in Morocco, Dominic, in Vancouver, Vancouver, Rabat]
who has the constitutional power to regulate interstate commerce	[the United States Congress, Congress, United States Congress]
the total length of coastline in the world	[1,634,701]
who sings the song i don't care anymore	[Phil Collins, English drummer Phil Collins]
who wrote candle in the wind by elton john	[Bernie Taupin, Elton John, Elton John and Bernie Taupin]
who won the rugby between wales and south africa	[Wales]
who plays smith jerrod in sex and the city	[Jason Lewis]
who were the five colonists killed in the boston massacre	[Attucks, Samuel Maverick, James Caldwell, Patrick Carr, Samuel Gray]
what's the real name of mad dog 20/20	[Mogen David]
what team did torreira play for before arsenal	[Sampdoria, Pescara]
name of the bulldog in tom and jerry	[Spike]
who narrated the year without a santa claus	[Shirley Booth, Shirley Booth as Mrs. Claus]
where is the most chlorophyll found in a plant	[chloroplasts, in and around photosystems]
when was the last time detroit tigers were in the world series	[2012]
the santa fe trail ended in this state	[New Mexico, Missouri]
who played lord summerisle in the 1973 version of the wicker man	[Christopher Lee]
when was the last time malibu was on fire	[November 8, 2018]
what was the german plan to invade britain	[Operation Sea Lion]
where does the energy in fossil fuels come from	[originating in ancient photosynthesis, ancient photosynthesis]
who is the god that holds the world up	[Atlas]
what was in the wagons on the santa fe trail	[manufactured products, people, foods, supplies]
who voices the clones in the clone wars	[Dee Bradley Baker, Daniel Logan]
when did plymouth and massachusetts bay join together	[1691]
when was the last time missouri raised the minimum wage	[November 6, 2018]
when was the last time red sox was in the world series	[2018]
who played the kid in blues brothers 2000	[J. Evan Bonifant]
when was the last 500 dollar bill printed	[1928, December 27, 1945]
who is the only vice precident of india to have worked under three different precident	[Mohammad Hamid Ansari, Bhairon Singh Shekhawat]
which country topped the medal tally of 2018 commonwealth games	[Australia]
when did the stock market bottom in 2009	[March 6, 2009, March 9, 2009]
what is one to one in a function	[injective function]
what is the timeframe for filing relevant suspicious activity reports	[30 days]
what was the name of the new radical government forced upon athens after the war	[Athenian democracy]
what is the name of the prince in cinderella	[Prince Charming]
who wrote your song sung by elton john	[Bernie Taupin, Elton John]
daoism is an ancient chinese philosophy that values	[human perfection, living in harmony, moral behavior]
who sang somewhere over the rainbow in you've got mail	[Harry Nilsson]
who reports to the white house chief of staff	[key White House staff, President of the United States]
who wrote the song mercy by brett young	[Paul Wayne Pierce, Brian Nicky, Brett Young, Sean McConnell]
what is the name of the us secretary of state	[Mike Pompeo]
what's the penguin called in toy story	[Wheezy]
where did spencer from made in chelsea grow up	[Nottinghamshire, Eden Rock in Saint Barthélemy]
when did the iphone 6s come out in the us	[September 25, 2015]
sumerian language as set down in written wedge-shaped character form is known as	[Cuneiform or Sumerian cuneiform, Cuneiform]
what type of lava does nevado del ruiz have	[andesitic–dacitic]
how many copies of all quiet on the western front were sold	[2.5 million]
where is the 2019 super bowl going to be held	[Atlanta, Georgia, Mercedes-Benz Stadium]
how many generations of dodge trucks are there	[The current fifth-generation]
where were the first railroads built in america	[Lewiston, New York]
who are the parents of the 50 nereids listed in the theogony	[Nereus, Doris]
when does modern family season 10 come out	[September 26, 2018]
what is the highest temperature recorded on earth	[56.7 °C, 134.1 °F]
what direction does the sun rise in the northern hemisphere	[southeast, due east]
when did the national anthem begin in the nfl	[after the year 2001]
when and where first time railway was run in india	[1837]
when did india last win olympic gold medal in hockey	[1980]
who is the largest plant in the world	[The conifer division of plants, General Sherman tree]
which death eater was not present to witness lord voldemort's rebirth	[Evan Rosier, Severus Snape, Regulus Black, Wilkes, Barty Crouch Jr., Igor Karkaroff]
when did a star is born start filming 2018	[April 17, 2017, April 2017]
who's going to host america's got talent 2019	[Terry Crews]
what is the order of 50 shades trilogy	[Fifty Shades Darker, Fifty Shades of Grey, Fifty Shades Freed]
who wrote the pledge of allegiance that we recite today	[Francis Bellamy, Captain George Thatcher Balch]
who did the rams play in the super bowl in 2000	[Tennessee Titans]
what is the most popular surname in italy	[Rossi]
the first civilization arose in mesopotamia on the banks of which two rivers	[Euphrates, Tigris, the Tigris, Euphrates Rivers]
when does the new season of snl air	[September 29, 2018]
what type of healthcare system does mexico have	[private physicians, private entities, universal healthcare, public institutions]
when is pokémon let's go pikachu coming out	[November 16, 2018]
book of the dead weighing of the heart spell	[Spell 125]
who sang the song love is all i have to give	[Checkmates, Ltd.]
when does episode 5 of season 5 of the flash come out	[November 13, 2018]
who is the voice of meena on sing	[Tori Kelly]
when did the new style fiesta come out	[May 7, 2018, 2013, 2008, 2017]
who gave the concept of reflexive role taking	[Robert Selman]
reading of an image in photoconductive camera is done with the help of	[photodetectors]
what cities does southwest fly to in north carolina	[Raleigh-Durham, Charlotte]
who fought for women's right to vote in canada	[Louise Crummy McKinney, Nellie McClung, Nellie Mooney McClung, Irene Marryat Parlby, Henrietta Muir Edwards, Emily Murphy]
how many seasons does sofia the first have	[4]
who wins season 1 of i love new york	[Tango, Patrick Hunter]
who plays the little girl in the christmas chronicles	[Darby Camp]
who starred in the falcon and the snowman	[Sean Penn, Timothy Hutton]
what is the name of first foreign recipient of bharat ratna	[Khan Abdul Ghaffar Khan, Mother Teresa]
who plays the young george bailey in it's a wonderful life	[Robert James Anderson]
who played king george in the madness of king george	[Nigel Hawthorne]
where was the heat of the night filmed	[Sparta, Illinois]
who did andrew scarborough play in downton abbey	[Tim Drewe]
in a white heron where was sylvia from	[the city]
list down the top five global cities in the world	[Singapore, London, Paris, New York City, Tokyo]
what number is the product of exactly three different prime numbers	[30, a sphenic number, sphenic number]
when does sequel to fantastic beasts come out	[16 November 2018]
miley cyrus songs list in hannah montana the movie	["Dream", "The Climb", "Hoedown Throwdown", "Butterfly Fly Away"]
when did the first version of baby its cold outside come out	[1949, 1944]
where to get an australian driver's license	[Australian state or territory]
who is the voice of kris kringle in santa claus is coming to town	[Mickey Rooney]
when does the russian orthodox church celebrate christmas	[7 January]
for the election of president of india a citizen should have completed the age of	[35]
when did the new england textile industry become successfully mechanized	[mid-18th century]
who has scored the most points in the nba history	[Kareem Abdul-Jabbar]
who did shane warne dismiss with the bold dubbed by the media as the ball of century	[Mike Gatting, Gatting]
when does the house of flowers season 2 start	[in 2019, 2019]
when did boise state win the national championship	[1980 D-I AA, 1980, 1958 JC, 1958]
who said to each according to his need	[Karl Marx]
who is the killer in agatha christie's crooked house	[Josephine, Miss de Haviland]
when do you file motion for summary judgment	[before trial]
​which is the longest surviving and most successful space telescope	[Spitzer Space Telescope]
when was the last time brewers were in the playoffs	[2018]
what is the governor general of canada responsibilities	[Julie Payette]
where was the decisive battle of the third carnatic war fought between the french and the english	[Wandiwash, southern India, Battle of Wandiwash]
manjeet chillar and anup kumar represent india in which sport	[kabaddi]
what does pdt stand for in time zones	[Pacific Daylight Time, "Pacific Daylight Time"]
where does most of our garlic come from	[China]
where was bad times at the el royale filmed	[Vancouver, British Columbia, Burnaby]
when was the last time the brewers played in the world series	[1982]
how many goals does kane have in the premier league	[122, 160]
what do they do in the client list	[unspecified erotic services, massages]
how old is jeannie from i dream of jeannie	[87]
how much does it cost to build a space suit	[$12,000,000, USD$12,000,000]
who does nick foles play for this year	[Philadelphia Eagles]
who did represent italy in the paris peace conference	[Vittorio Emanuele Orlando]
tim tebow's record as a starter for broncos	[8–5]
who starred in a 1959 american epic religious drama film ben-hur	[Jack Hawkins, Sam Jaffe, Hugh Griffith, Stephen Boyd, Martha Scott, Haya Harareet, Charlton Heston, Cathy O'Donnell]
who is the woman in the cube on itv	[Colin McFarlane]
when is the new ace combat coming out	[February 1, 2019, January 18, 2019]
who is the girl in the girl all the bad guys want	[Lindy Christopher]
when did they start showing movies on planes	[After the Second World War, the 1960s, 1921]
a gini coefficient score of 0 for a country indicates what	[everyone has the same income]
how many students are there in the us	[81.5 million]
who played jason in the movie friday the 13th	[Ari Lehman]
what is the largest piece of gold ever found	[Welcome Stranger, the Welcome Stranger]
where do shakhtar donetsk play their home games	[Kharkiv, the Metalist Stadium in Kharkiv, Metalist Stadium in Kharkiv]
under 19 world cup 2016 highest run scorer	[Jack Burnham, Eoin Morgan, Hasitha Boyagoda, Daniel Lawrence]
how are the member of legislative assembly elected	[by the people]
what are the liquid layers of the earth	[outer core]
who went home on holiday baking championship season 4	[Pablo, Andra, Aveed Dai, Amy Strickland, Stephany Buswell, Aristo, Amy, Steve Konopelski & Adalberto Diaz, Aristo Camburako, Bill Lipscomb & Naylet Larochelle, Aveed, Andra Chisholm, Pablo Sanchez, Ian Barthley, Joshua Livsey, Ian]
who plays henry viii in the other boleyn girl	[Eric Bana]
when does the new season of mortal instruments start	[February 25, 2019]
who said but for my own part it was greek to me	[Servilius Casca]
the great rift valley is what type of plate boundary	[divergent plate boundary, divergent]
when did dallas cowboys last won a playoff game	[2017, 2018]
the barbie doll was first introduced in 1959. what is barbie's last name	[Roberts]
where does county sticker go on ohio license plate	[the bottom left corner, at the bottom left corner]
when did the first episode of pokemon air	[September 8, 1998, April 1, 1997, on April 1, 1997]
when did the california wildfire start in 2018	[mid-July, mid-July to August 2018]
when was tom brady picked in the draft	[2000, the sixth round]
where does the last name borg come from	[Nordic countries]
the season when it rains a lot in southern asia	[East Asian monsoon, Monsoon, summer]
what is the first rank of ias officer	[sub-divisional magistrate (SDM)]
song in breaking dawn part 2 when bella and edward make love	[Fire in the Water]
when did john abbott die on young and the restless	[2006, August 18, 2006, on August 18, 2006]
dionne warwick that's what friends are for singers	[Gladys Knight, Stevie Wonder, Elton John, Dionne Warwick]
where does the nile river end and begin	[SourceWhite Nile, MouthMediterranean Sea]
when does the 5th season of the flash start	[October 9, 2018]
which place in the uk is furthest from the sea	[Coton in the Elms]
law that restored trade with great britain and france	[Macon's Bill Number 2]
who has the most followers in instagram in india	[Priyanka Chopra]
when did the 737-800 come out	[1990s, November 17, 1993, July 31, 1997]
who was the quarterback that won the superbowl	[Nick Foles]
where does the last name schmidt originate from	[German]
how many episodes of handmaid's tale are there in season 2	[23, 13]
